sex_std,age,n
f,18,74
f,19,349826
f,20,373054
f,21,291792
f,22,411539
f,23,563353
f,24,593907
f,25,622382
f,26,487522
f,27,506624
f,28,518304
f,29,526190
f,30,459366
f,31,431422
f,32,412285
f,33,392916
f,34,556875
f,35,463194
f,36,414729
f,37,390556
f,38,356488
f,39,312200
f,40,281441
f,41,327062
f,42,283085
f,43,260161
f,44,348089
f,45,329386
f,46,431260
f,47,266552
f,48,387655
f,49,330961
f,50,323805
f,51,412636
f,52,331297
f,53,304101
f,54,359457
f,55,254594
f,56,382565
f,57,252149
f,58,295768
f,59,225980
f,60,199908
f,61,283626
f,62,207383
f,63,192579
f,64,216627
f,65,156658
f,66,242340
f,67,149542
f,68,174422
f,69,128034
f,70,119601
f,71,189567
f,72,124970
f,73,119678
f,74,122975
f,75,95174
f,76,152316
f,77,83067
f,78,93215
f,79,65960
f,80,58397
f,81,97895
f,82,60186
f,83,57796
f,84,55346
f,85,38508
f,86,70916
f,87,34368
f,88,36673
f,89,21836
f,90,18172
f,91,32964
f,92,16954
f,93,14590
f,94,11761
f,95,8237
f,96,14013
f,97,6327
f,98,5653
f,99,3023
f,101,1
m,18,184
m,19,522476
m,20,499479
m,21,405221
m,22,626222
m,23,736192
m,24,679626
m,25,661091
m,26,564443
m,27,599506
m,28,622592
m,29,589556
m,30,545498
m,31,479727
m,32,456298
m,33,484865
m,34,702846
m,35,634610
m,36,588739
m,37,489399
m,38,428977
m,39,330368
m,40,313839
m,41,353773
m,42,314006
m,43,326889
m,44,477465
m,45,445867
m,46,517769
m,47,406602
m,48,457839
m,49,370921
m,50,362907
m,51,459156
m,52,363911
m,53,347489
m,54,350618
m,55,288649
m,56,411245
m,57,270091
m,58,321871
m,59,241032
m,60,225889
m,61,339006
m,62,238915
m,63,218126
m,64,207939
m,65,169454
m,66,258063
m,67,157671
m,68,175203
m,69,123106
m,70,115124
m,71,179979
m,72,118554
m,73,110307
m,74,101285
m,75,80964
m,76,134270
m,77,74368
m,78,78794
m,79,52053
m,80,46492
m,81,71097
m,82,46027
m,83,39652
m,84,33380
m,85,26190
m,86,45710
m,87,22376
m,88,21586
m,89,12291
m,90,9993
m,91,16400
m,92,8629
m,93,6561
m,94,4934
m,95,3770
m,96,6456
m,97,2730
m,98,2208
m,99,1153
NA,19,2500
NA,20,16325
NA,21,11499
NA,22,17698
NA,23,23898
NA,24,21916
NA,25,2682
NA,26,20816
NA,27,22389
NA,28,20963
NA,29,1269
NA,30,55193
NA,31,1671
NA,32,1997
NA,33,47913
NA,34,20821
NA,35,78414
NA,36,88711
NA,37,16894
NA,38,27040
NA,39,11839
NA,40,32100
NA,41,12764
NA,42,11505
NA,43,26684
NA,44,39398
NA,45,33262
NA,46,18965
NA,47,25177
NA,48,13304
NA,49,6765
NA,50,12439
NA,51,2255
NA,52,1978
NA,53,18804
NA,54,1290
NA,55,22751
NA,56,14242
NA,57,2566
NA,58,10413
NA,59,3829
NA,60,14518
NA,61,12398
NA,62,9361
NA,63,8907
NA,64,921
NA,65,11119
NA,66,8078
NA,67,1884
NA,68,5506
NA,69,2320
NA,70,3191
NA,71,1099
NA,72,923
NA,73,1626
NA,74,4614
NA,75,1207
NA,76,2204
NA,77,3425
NA,78,2600
NA,79,612
NA,80,3823
NA,81,897
NA,82,2516
NA,83,1885
NA,84,151
NA,85,3033
NA,86,2227
NA,87,430
NA,88,1261
NA,89,398
NA,90,959
NA,91,293
NA,92,127
NA,93,451
NA,94,34
NA,95,434
NA,96,1069
NA,97,100
NA,98,170
NA,99,60
