district_std,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std,village_cand_3_std
४baadamer,25graam bhaadares gaamdhav,bhaadares gaamdhav,bhaadares gaamdhav,graam bhaadares gaamdhav,raajakeey guroooam vaas bhaadares gaamdhav
kootaa,154kaamkaraa,kaamkaraa,kaamkaraa,kaamkaraa,raajakeey kaamkaraa
booadee,119phulethaa,Phuleta,phuleta,phulethaa,raajakeey kamaraa nambar phulethaa
jayapur,152sulthaanapuraa,sulathaanapuraa,sulathaanapuraa,sulthaanapuraa,raajakeey sulthaanapuraa nayaa kamaraa kamaraa nambar
baadamer,240baamkaasar,baamkaasar,baamkaasar,baamkaasar,raajakeey baamkaasar
baaraa,185kaacharaa,kaacharaa,kaacharaa,kaacharaa,raajakeey kaacharaa
kootaa,134dhaakad഼akhed഼ee,Ward No.31,ward no,dhaakadakhedee,raajakeey vidayaalay dhaakadakhedee kamaraa n
seekar,"vidhaalay, jhhunakaabaas",jhhun kaa baas,jhhun kaa baas,vidhaalay jhhunakaabaas,raajakeey vidhaalay jhhunakaabaas
jayapur,139aaamdhee,aaamdhee,aaamdhee,aaamdhee,raajakeey nyoo kaloonee nayaa aaamdhee
jaalour,79paathedee,Patheri,patheri,paathedee,raajakeey baamyaa kamaraa paathedee
udayapur,133damaanaa (magavaas,damaanaa (magavaas,damaanaa magavaas,damaanaa magavaas,raajakeey vidhaalay daayaam damaanaa magavaas
jhhaalaavaad,240bhoomaad഼ee,Bhumari,bhumari,bhoomaadee,raajakeey
paalee,141nayaa gaamv bas stend,:,NA,nayaa bas stend,raajakeey vidhaalay nayaa bas stesan
joodhapur,183keralaa,Ishru,ishru,keralaa,raajakeey keralaa
kootaa,28khaathoulee,khaathoolee,khaathoolee,khaathoulee,raajakeey khaathoolee kn
baaraa,36bilemdee,Bilendi,bilendi,bilemdee,raajakeey bilendee
seekar,21daadiyaa,daadiyaa,daadiyaa,daadiyaa,raajakeey baalikaa daadiyaa daamyaa
jayapur,247jhhaalaanaa doomgaree,jayapur,jayapur,jhhaalaanaa doomgaree,maanavathaa pablik skool indiraa nagar phaij dvitheey jhhaalaanaa doogaree hal
beekaaner,"bhavan daamyaa bhaag, hiyaadesar",Hiyadesar,hiyadesar,daamyaa hiyaadesar,raajakeey maadhyami ak daamyaa
h karoulee,29khirakhidee,khirakhidee,khirakhidee,khirakhidee,raajakeey baamyaa khirakhidee
raajasamand,189sakkar gadh,sakkar gadh,sakkar gadh,sakkar gadh,raajakeey sakkragadh
beekaaner,dulameraa gaamv,Dulmera,dulmera,dulameraa,raajakeey dulameraa gaaav
hi joodhapur,105moomathagadh,momatgarh,momatgarh,moomathagadh,raajakeey sikshaa karmee vidyaalaysutharoo dhaanee moomathagadh
jayapur,233haripuraa,haripuraa,haripuraa,haripuraa,raajakeey aadars haripuraa daayaa
joodhapur,253jaatoo kee dhaanee saamgareeyaa,saamgariyaa,saamgariyaa,jaatoo dhaanee saamgareeyaa,raajakeey jaatoo dhaanee baayaa saamgariyaa
baadamer,30lakhavaaraa,lakhavaaraa,lakhavaaraa,lakhavaaraa,raajakeey
naagour,78Blac,khookhar,khookhar,blac,raajakeey daayaam khookhar
baadamer,93seelagan,seelagan,seelagan,seelagan,raajakeey silagan
udayapur,262soom,soom,soom,soom,raajakeey vidhaalay daayaam soom
siroohee,196upalaakhejadaa,Upla Khejra,upla khejra,upalaakhejadaa,raajakeey upalaa khejadaa
hi kootaa,155himgee,Heengi,heengi,himgee,raajakeey himgee kamaraa nambar
ajamer,34khaathoolee,khaathoolee,khaathoolee,khaathoolee,raajakeey baaee or khaathoolee
suajhhunoo,212sehee kalaam,sehee kalaam,sehee kalaam,sehee kalaam,raajakeey baayaam sehee kalaam
karoulee,44khooharee (pratham bhaag,khooharee,khooharee,khooharee pratham,raajakeey khooharee
naagour,198deenadaarapuraa,khaarriyaa,khaarriyaa,deenadaarapuraa,raajakeey madhy deenadaarapuraa
naagour,210raamasiyaa,raamasiyaa,raamasiyaa,raamasiyaa,raajakeey raamasiyaa
paalee,71facta,birool,birool,facta,raajakeey aadars baamyaa birool
savaaeemaadhoopur,236savaaee maadhoopur,savaaee maadhoopur,savaaee maadhoopur,savaaee maadhoopur,naamadev raamakuee sahar savaaee maadhoopur kamaraa nam
beekaaner,166oopanee,Upni,upni,oopanee,raajakeey aadars daayaam oopanee
booadee,90ugen,Ugen,ugen,ugen,raajakeey ugen
joodhapur,23beradoo kaa baas,bairadoo kaa baas,bairadoo kaa baas,beradoo baas,raajakeey vighaalay bairadoo baas daayaa
udayapur,17dhaavad഼ee,dhaavadee,dhaavadee,dhaavadee,raajakeeyauchch daamyaa dhaavadee
joodhapur,173jinajiniyaalaa goovindaa,०jimjaniyaalaa goovimdaa,jimjaniyaalaa goovimdaa,jinajiniyaalaa goovindaa,raajakeey jinajinayaalaa goovindaa
alavar,49UMTS,raajagadh഼,raajagadh,umts,pusthakaalay maachaadee chouk raajagadh
chooru,158saradaarasahar,saradaarasahar,saradaarasahar,saradaarasahar,raajakeey
ajamer,mathadaan kendr kaa bhavan evam pathaa  :,byaavar,byaavar,NA,kamaraa kamaraa nam
dhoulapur,107nourahaa,noorahaa,noorahaa,nourahaa,raajakeey nourahaa
bheelavaadaa,115teethoodaa jaageer,०Teethoda (Jageer),teethoda jageer,teethoodaa jaageer,raau maa kamaraa teethoodaa jaageer
seekar,214laapuaa,laampuvaa,laampuvaa,laapuaa,raajakeey aadars laapuvdaamyaa
alavar,50teekaree,:,NA,teekaree,raajakeey teekaree
ajamer,26paakhariyaavaas,paakhariyaavaas,paakhariyaavaas,paakhariyaavaas,raajakeey paakhariyaavaas kamaraa
siroohee,55varamaan-2,Varman,varman,varamaan,raajakeey baayaa varamaan
beekaaner,200At,Riri,riri,200at,raajakeey aadars baamyaa bhaagreedee
bheelavaadaa,131saand,Sand,sand,saand,raajakeey saand kamaraa saand
hanumaanagadh,33gooloobaalaa nivaadaan  22jeaarake,०gooloovaalaa nivaadaan,gooloovaalaa nivaadaan,gooloobaalaa nivaadaan jeaarake,raajakeey baamyaa gooluvaalaa nivaadaan
ajamer,139goovindapuraa,:,NA,goovindapuraa,raajakeey goovindapuraa vaachanaalay
savaaeemaadhoopur,86gaamvadee kalaam,gaavadee kalaam,gaavadee kalaam,gaamvadee kalaam,raajakeey gaamvadee kalaam
baamsavaadaa,144mootaag൉av,MOTA GAVE,mota gave,mootaagav,raajakeey vidyaalayabhavan daamyaa mootaagav
jayapur,43jaahoothaa,jaahoothaa,jaahoothaa,jaahoothaa,raajakeey vidhaalay jaahoothaa baamyaa
joodhapur,85baamsavaadaa nagar,baamsavaadaa nagar,baamsavaadaa nagar,baamsavaadaa nagar,raajakeey baamsavaadaa nagar
baadamer,mathadaan kendr kaa bhavan evam pathaa  :,samadadee,samadadee,NA,samadadee gaaav daayaam
naagour,19daagad഼ee,daagad഼ee,daagadee,daagadee,raajakeey daagadee
jayapur,60nrisimhapuraa,narasimhapuraa,narasimhapuraa,nrisimhapuraa,raajakeey nrisimhapuraa kamaraa nam
raajasamand,57pipalaanthree Hat,pipalaanthree kalaam,pipalaanthree kalaam,pipalaanthree hat,raajakeey aadars pipalaanthree baamyaa
dousaa,59paapadad഼aa,०paapadadaa,paapadadaa,paapadadaa,raajakeey paapadadaa kamaraa
hi jayapur,mathadaan kendr kaa bhavan evam pathaa  :,jayapur,jayapur,NA,kamaraa nam baamyaa
