district_std,n_parts,n_electors,share_with_candidate,share_with_main_town
aaajamagadh,2,1993,1,1
aagaraa,3612,3126658,1,0.9994462901439646
aajamagadh,3636,3320176,1,0.9268426842684269
ad,263,262916,1,1
ajnjaapagadh,1,1008,1,1
aleegadh,2997,2554555,1,0.9993326659993327
ambedakar nagar,1925,1613193,1,0.9989610389610389
ambedaphar nagar,77,61424,1,1
amethee,1060,907165,1,1
as,1,1374,1,1
auraiyaa,1110,976477,1,0.9927927927927928
baagapath,948,902146,1,1
baamdaa,1342,1169200,1,0.9992548435171386
baaraabamkee,2649,2150656,1,0.9992449981124952
badaayoom,2395,2215835,1,0.9974947807933194
baharaaich,2725,2271629,1,0.9864220183486239
balaraamapur,1820,1521271,1,0.9928571428571429
baliyaa,2450,2326321,1,1
barelee,3202,2925777,1,0.9937539038101186
basthee,2307,1803039,1,0.99913307325531
bhadoohee,1237,1119852,1,1
bijanour,2826,2314677,1,0.9996461429582448
boer,2,1416,1,1
bulandasahar,2201,1850935,1,0.9827351203998183
bulanvasahar,94,76591,1,1
chandoulee,1192,1051799,1,0.7718120805369127
chithrakoot,772,631050,1,0.9974093264248705
ded ha nagar,1,672,1,1
devariyaa,354,290328,1,1
elds,2,2390,1,1
ergs,2,1954,1,1
etaa,1575,1216448,1,0.9993650793650793
fed ha nagar,17,15583,1,1
gaajeepur,2974,2582788,1,0.9989912575655683
gaajiyaabaad,2625,2435373,1,0.9908571428571429
garaget,655,539279,1,1
ged ha nagar,1,1352,1,1
ged han nagar,2,1074,1,1
ged kabeer nagar,2,679,1,1
goondaa,2874,2340179,1,0.9986082115518441
goorakhapur,3788,3388607,1,0.9955121436114044
goutham buddh nagar,1371,1284336,1,0.4551422319474836
haapud,957,932008,1,0.9979101358411703
haatharas,1213,993294,1,1
hameerapur,562,519336,1,0.998220640569395
haradooee,3440,2770345,1,0.9
heese,2,1797,1,1
helse,64,53942,1,1
ilaahaabaad,4705,4163576,1,0.9948990435706695
ilaahaabaav,55,51570,1,1
itaavaa,1304,1127883,1,1
jaaloun,1363,1034521,1,0.9985326485693323
jhhaamsee,1499,1274604,1,0.9939959973315544
jounapur,727,580765,1,1
kaanapur dehaath,1550,1260304,1,0.9974193548387097
kaanapur nagar,2796,2541369,1,0.9170243204577968
kaasagamj,1121,958802,1,0.8465655664585192
kannouj,1491,1106267,1,0.8269617706237424
kheeree,2800,2652629,1,0.9996428571428572
kousaambee,1188,1084019,1,0.9991582491582491
kuseenagar,2657,2443031,1,0.9996236356793377
lakhanaoo,3431,3482852,1,0.7105800058292043
lalithapur,764,684591,1,0.9921465968586387
mahaaraajagamj,2058,1825092,1,0.999514091350826
mahoobaa,557,481036,1,0.9964093357271095
mainapuree,1736,1002239,1,0.9994239631336406
maoo,1392,1311638,1,0.9985632183908046
mathuraa,1964,1704298,1,0.994908350305499
merath,2575,2424521,1,0.9941747572815534
mirjaapur,1933,1785514,1,0.999482669425763
mujaphpharanagar,1385,1335636,1,0.9985559566787003
muraadaabaad,2351,2190256,1,0.9995746490854955
muraavaabaad,1,673,1,1
n,15,12263,1,1
peeleebheeth,1483,1278118,1,0.9993256911665542
phaijaabaad,2039,1720149,1,0.9975478175576263
phararookhaabaad,264,231017,1,1
pharookhaabaad,414,367566,1,1
pharrookhaabaad,778,681740,1,0.993573264781491
phathehapur,1985,1786618,1,0.9929471032745592
phiroojaabaad,1923,1689009,1,0.9979199167966719
prathaapagadh,2547,2302375,1,0.9874361994503337
raamapur,1793,1633477,1,1
raay barelee,1768,1630173,1,1
ret se,5,2625,1,1
saahajahaaapur,2367,2024771,1,0.9767638360794254
saamalee,629,598477,1,0.9920508744038156
sahaaranapur,2048,1893862,1,1
sajnjaathragadh,1,546,1,1
sambhal,1487,1422684,1,0.5608607935440484
santh kabeer nagar,997,752807,1,1
seco,2,1368,1,1
seethaapur,3642,2787925,1,0.999725425590335
siddhaarthanagar,2213,1812708,1,0.2422051513782196
soonabhadr,1439,1277813,1,0.9972202918693537
sraavasthee,897,532357,1,1
st aag,2,1883,1,1
sulthaanapur,2191,1778914,1,0.9990871748060246
unnaav,2572,2050546,1,0.9358475894245724
vaaraanasee,2820,2776593,1,1
wed kabeer nagar,378,271801,1,1
wh,1,1125,1,0
NA,1107,976570,1,0.12466124661246612
