district_dev_clean,translit,ref_district,match_method
aad,aad,sawai madhopur,fuzzy_0.262
amet,amet,ajmer,fuzzy_0.217
aret,aret,barmer,fuzzy_0.250
qe,qe,churu,manual
अजमेर,ajamera,ajmer,fuzzy_0.095
अलवर,alavara,alwar,fuzzy_0.210
उदयपुर,udayapura,udaipur,fuzzy_0.159
करौली,karauli,karauli,fuzzy_0.000
कोटा,kota,kota,fuzzy_0.000
गंगानगर,ganganagara,ganganagar,fuzzy_0.030
चित्तौड़गढ़,cittauragarha,chittorgarh,fuzzy_0.219
चूरु,curu,churu,fuzzy_0.067
जयपुर,jayapura,jaipur,fuzzy_0.181
जालौर,jalaura,jhalawar,fuzzy_0.187
जैसलमेर,jaisalamera,jaisalmer,fuzzy_0.061
जोधपुर,jodhapura,jodhpur,fuzzy_0.074
झालावाड़,jhalavara,jhalawar,fuzzy_0.116
टौंक,taunka,tonk,fuzzy_0.250
डूंगरपुर,dungarapura,dungarpur,fuzzy_0.061
दौसा,dausa,dausa,fuzzy_0.000
धौलपुर,dhaulapura,dholpur,fuzzy_0.264
नागौर,nagaura,nagaur,fuzzy_0.048
पाली,pali,pali,fuzzy_0.000
प्रतापगढ़,pratapagarha,pratapgarh,fuzzy_0.089
बाड़मेर,baramera,barmer,fuzzy_0.083
बाराँ,baram,baran,fuzzy_0.133
बांसवाड़ा,bansavara,banswara,fuzzy_0.163
बीकानेर,bikanera,bikaner,fuzzy_0.042
बूँदी,bumdi,bundi,fuzzy_0.133
भरतपुर,bharatapura,bharatpur,fuzzy_0.061
भीलवाड़ा,bhilavara,bhilwara,fuzzy_0.163
राजसमन्द,rajasamanda,rajsamand,fuzzy_0.135
सझुँझुनू,sajhumjhunu,jhunjhunu,fuzzy_0.128
सवाईमाधोपुर,savaimadhopura,sawai madhopur,fuzzy_0.095
सिरोही,sirohi,sirohi,fuzzy_0.000
सीकर,sikara,sikar,fuzzy_0.056
सुँझुनू,sumjhunu,jhunjhunun,manual
सुँझुन्,sumjhun,jhunjhunun,manual
हनुमानगढ़,hanumanagarha,hanumangarh,fuzzy_0.082
