match_stage,ref_source,n,share
dev_exact_delim,delim2014,3159,0.09612049292560475
fuzzy_district_delim,delim2014,1179,0.0358740301232314
fuzzy_district_lgd,lgd2024,2055,0.06252852578731173
fuzzy_tehsil_lgd,lgd2024,1794,0.054586946599726155
skel_exact_lgd,lgd2024,7867,0.2393731933668036
skel_exact_lgd_tehsil,lgd2024,5499,0.16732085805568234
skel_fuzzy_lgd_tehsil,lgd2024,3986,0.12128404077285866
t13n_exact_delim,delim2014,503,0.015305035752320097
t13n_exact_lgd,lgd2024,3044,0.09262132968203256
t13n_exact_lgd_tehsil,lgd2024,3779,0.11498554693442872
