lgd_district,mandal_std,subdistrict_ref,tehsil_match_distance
baran,saahabaad,shahbad,0.24206349206349215
baran,chhabadaa,chhabra,0.1587301587301588
baran,chheepaabadoud,NA,NA
dholpur,basedee,NA,NA
ganganagar,padamapur,padampur,0.037037037037037104
ganganagar,raayasimhanagar,NA,NA
ganganagar,gamgaanagar,ganganagar,0.18653198653198652
ganganagar,vijayanagar,NA,NA
ganganagar,soorathagadh,NA,NA
ganganagar,anoopagadh,NA,NA
tonk,toomk,tonk,0.21666666666666667
bikaner,beekaaner,NA,NA
chittorgarh,ay,NA,NA
chittorgarh,raavathabhaataa,rawatbhata,0.2407407407407408
chittorgarh,gamgaraar,gangrar,0.2142857142857143
ajmer,kisanagadh,kishangarh,0.17500000000000002
ajmer,araamee,NA,NA
ajmer,saravaad,NA,NA
ajmer,roopanagadh,roopangarh,0.13097643097643102
ajmer,ajamer,ajmer,0.05555555555555556
ajmer,naseeraabaad,nasirabad,0.18981481481481494
ajmer,byaavar,NA,NA
ajmer,taatagadh,NA,NA
ajmer,masoodaa,NA,NA
ajmer,bijayanagar,NA,NA
alwar,mundawar,NA,NA
alwar,neemaraanaa,NA,NA
alwar,baharood,NA,NA
alwar,baanasoor,badnor,0.20370370370370378
alwar,thaanaagaajee,NA,NA
alwar,raajagadh,rajgarh,0.24206349206349215
alwar,alavar,alwar,0.17777777777777778
barmer,siv,NA,NA
barmer,gadaraa rood,gadraroad,0.17592592592592593
barmer,choohatan,chohtan,0.12169312169312176
barmer,baadamer,barmer,0.18055555555555555
barmer,gidaa,NA,NA
barmer,baayathu,NA,NA
barmer,dhooreemannaa,dhorimanna,0.13589743589743591
barmer,gudaamaalaanee,NA,NA
barmer,sinadharee,NA,NA
barmer,sedavaa,sedwa,0.20952380952380956
banswara,ganoodaa,ganoda,0.08333333333333338
banswara,ghaatool,ghatol,0.08333333333333338
banswara,gadhee,NA,NA
banswara,baamsavaadaa,NA,NA
banswara,baageedouraa,NA,NA
banswara,anandpuri,anandpuri,5.551115123125783e-17
banswara,sajjanagadh,sajjangarh,0.13097643097643102
banswara,kusalagadh,kushalgarh,0.17500000000000002
baran,maamgarool,mangrol,0.18095238095238095
baran,baaraam,NA,NA
baran,ataroo,NA,NA
baran,anthaa,antah,0.12222222222222213
baran,kisanagamj,kishanganj,0.17500000000000002
bikaner,nookhaa,nokha,0.09523809523809525
bikaner,sree sos,NA,NA
bharatpur,nagar,NA,NA
bharatpur,deeg,NA,NA
bharatpur,bharathapur,bharatpur,0.06060606060606061
bharatpur,bhusaavar,bhusawar,0.11574074074074082
bhilwara,bheelavaadaa,NA,NA
bhilwara,banedaa,NA,NA
bhilwara,jahaajapur,NA,NA
bhilwara,maandalagadh,mandalgarh,0.2277777777777779
bhilwara,bijooliyaa,bijoliya,0.06666666666666678
bundi,hindoolee,hindoli,0.1587301587301588
bundi,nainavaa,nainwa,0.18055555555555555
bundi,iamdragadh,NA,NA
bundi,kesooraayapaatan,keshoraipatan,0.20090326340326337
bundi,boondee,NA,NA
churu,saradaarasahar,sardarshahar,0.20526695526695532
dungarpur,doomgarapur,dungarpur,0.19528619528619526
dungarpur,aasapur,aspur,0.09523809523809525
dungarpur,sabla,sabla,5.551115123125783e-17
dungarpur,saagavaadaa,NA,NA
dungarpur,jhhoomtharee,NA,NA
dungarpur,seemalavaadaa,NA,NA
dungarpur,chikhalee,chikhali,0.11574074074074082
dausa,basavaa,baswa,0.20952380952380956
dausa,mahavaa,mahwa,0.20952380952380956
dausa,sikaraay,sikrai,0.24722222222222212
dausa,dousaa,dausa,0.17777777777777778
dausa,raamagadh pachavaaraa,NA,NA
dausa,laalasoot,lalsot,0.11111111111111122
ganganagar,sreekaranapur,NA,NA
ganganagar,ghadasaanaa,NA,NA
dausa,naamgal raajaavathaan,NA,NA
karauli,hindoun,hindaun,0.09523809523809525
karauli,maasalapur,masalpur,0.10833333333333345
karauli,toodaabheem,NA,NA
karauli,nadoothee,NA,NA
karauli,karoulee,karauli,0.22023809523809523
karauli,sapootaraa,sapotra,0.14761904761904773
sikar,phathehapur,NA,NA
sikar,lakshmanagadh,lachhmangarh,0.22293447293447308
sikar,daamthaaraamagadh,NA,NA
sikar,khandelaa,khendela,0.1871693121693123
tonk,uniyaaraa,uniara,0.1666666666666667
tonk,devalee,NA,NA
hanumangarh,samgariyaa,sangaria,0.14166666666666666
hanumangarh,tibbee,NA,NA
hanumangarh,hanumaanagadh,hanumangarh,0.15722610722610725
hanumangarh,peeleebamgaa,NA,NA
hanumangarh,raavathasar,rawatsar,0.23430735930735944
hanumangarh,noohar,nohar,0.05555555555555556
ajmer,peesaamgan,peesangan,0.14537037037037034
bhilwara,aaseennd,asind,0.23333333333333345
alwar,lakshmanagadh,lachhmangarh,0.22293447293447308
jaipur,phuleraa,phulera hqsambhar,0.17647058823529413
jaipur,jayapur,jaipur,0.1507936507936509
jaipur,aamer,amber,0.13333333333333336
churu,beedaasar,bidasar,0.2142857142857143
churu,sujaanagadh,sujangarh,0.19044612794612809
jhalawar,ahore,NA,NA
jhalawar,jaaloor,NA,NA
jhalawar,baagooraa,NA,NA
jhalawar,jasavamthapuraa,NA,NA
jhalawar,saamchoor,NA,NA
jhalawar,bheenamaal,NA,NA
jaipur,kootapoothalee,NA,NA
jaipur,saahapuraa,NA,NA
jaipur,choumoom,chomu,0.19166666666666676
jaipur,saamgaaner,sanganer,0.1892857142857144
jaipur,kootakhaavadaa,NA,NA
jaipur,chaakasoo,chaksu,0.20370370370370378
jaipur,bassee,bassi,0.17777777777777778
jaipur,phaagee,NA,NA
jhalawar,pidaavaa,NA,NA
jhalawar,khaanapur,khanpur,0.07407407407407415
jhalawar,akaleraa,aklera,0.19444444444444453
jhalawar,manooharathaanaa,manohar thana,0.17841880341880342
jodhpur,baap,NA,NA
jodhpur,phaloodee,NA,NA
jodhpur,seragadh,shergarh,0.2222222222222222
jodhpur,osiyaam,osian,0.20952380952380956
jodhpur,baalesar,balesar,0.13690476190476192
jodhpur,baavadee,NA,NA
jodhpur,bhoopaalagadh,bhopalgarh,0.1914529914529914
jodhpur,joodhapur,jodhpur,0.07407407407407415
jodhpur,peepaad saahar,NA,NA
jodhpur,loonee,NA,NA
kota,peepaldaa,pipalda,0.1587301587301588
kota,saamgood,sangod,0.18055555555555555
kota,laadapuraa,ladpura,0.21904761904761905
kota,deegood,digod,0.20952380952380956
kota,kanavaas,kanwas,0.18055555555555555
nagaur,laadanoom,NA,NA
nagaur,deedavaanaa,NA,NA
nagaur,naagour,nagaur,0.10317460317460315
nagaur,kheemvasar,kheenvsar,0.14537037037037034
nagaur,moondavaa,NA,NA
nagaur,medathaa,NA,NA
nagaur,riyaa badee,riyan badi,0.2200757575757576
nagaur,degaanaa,degana,0.1388888888888889
nagaur,makaraanaa,NA,NA
nagaur,parabathasar,NA,NA
nagaur,kuchaaman sitee,NA,NA
nagaur,naavaam,NA,NA
pali,maaravaad jamksan,NA,NA
pali,baalee,NA,NA
pali,paalee,NA,NA
pali,sumerapur,sumerpur,0.037037037037037104
churu,raajagadh,rajgarh,0.24206349206349215
churu,chooroo,NA,NA
rajsamand,bheem,bhim,0.21666666666666667
rajsamand,devagadh,NA,NA
rajsamand,aamet,amet,0.06666666666666678
rajsamand,kumbhalagadh,kumbhalgarh,0.1191919191919192
