district_std,n_parts,n_electors,n_matched,share_parts_matched,electors_matched,share_electors_matched,share_rural_electors_matched
aaajamagadh,2,1993,2,1,NA,NA,NA
aagaraa,3612,3126658,1598,0.4424141749723145,NA,NA,NA
aajamagadh,3636,3320176,3037,0.8352585258525853,NA,NA,NA
ad,263,262916,39,0.1482889733840304,NA,NA,NA
ajnjaapagadh,1,1008,1,1,1008,1,1
aleegadh,2997,2554555,2162,0.721388054721388,NA,NA,NA
ambedakar nagar,1925,1613193,1770,0.9194805194805195,NA,NA,NA
ambedaphar nagar,77,61424,68,0.8831168831168831,NA,NA,NA
amethee,1060,907165,971,0.9160377358490566,NA,NA,NA
as,1,1374,0,0,0,0,0
auraiyaa,1110,976477,969,0.8729729729729729,NA,NA,NA
baagapath,948,902146,534,0.5632911392405063,NA,NA,NA
baamdaa,1342,1169200,1144,0.8524590163934426,NA,NA,NA
baaraabamkee,2649,2150656,2222,0.8388070970177426,NA,NA,NA
badaayoom,2395,2215835,661,0.2759916492693111,NA,NA,NA
baharaaich,2725,2271629,2409,0.8840366972477064,NA,NA,NA
balaraamapur,1820,1521271,1693,0.9302197802197802,NA,NA,NA
baliyaa,2450,2326321,2190,0.8938775510204081,NA,NA,NA
barelee,3202,2925777,2068,0.6458463460337289,NA,NA,NA
basthee,2307,1803039,2180,0.9449501517121803,NA,NA,NA
bhadoohee,1237,1119852,1073,0.8674211802748585,NA,NA,NA
bijanour,2826,2314677,2430,0.8598726114649682,NA,NA,NA
boer,2,1416,0,0,0,0,NA
bulandasahar,2201,1850935,1616,0.7342117219445706,NA,NA,NA
bulanvasahar,94,76591,83,0.8829787234042553,NA,NA,NA
chandoulee,1192,1051799,889,0.7458053691275168,NA,NA,NA
chithrakoot,772,631050,566,0.7331606217616581,NA,NA,NA
ded ha nagar,1,672,1,1,672,1,1
devariyaa,354,290328,52,0.14689265536723164,NA,NA,NA
elds,2,2390,0,0,0,0,NA
ergs,2,1954,0,0,0,0,NA
etaa,1575,1216448,1317,0.8361904761904762,NA,NA,NA
