district_std,filename,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std
gaajeepur,AC375_S24A375P146, 146praa0apaa0 islaamaabaad ,islaamaabaad ,islaamaabaad,praa0apaa0 islaamaabaad
goorakhapur,AC326_S24A326P252, 252pam0abh0atoo0 chhaa0 bandhoo simh raajadhaanee k0asam0  2,raajadhaanee ,raajadhaanee,pam0abh0atoo0 chhaa0 bandhoo simh raajadhaanee k0asam0
seethaapur,AC150_S24A150P039, 39pamchaayathabhavan sisaiyaadariyaanaa sthith dariyaanaa ,sisaiyaadariyaanaa ,sisaiyaadariyaanaa,pamchaayathabhavan sisaiyaadariyaanaa dariyaanaa
sambhal,AC111_S24A111P046, 46praa0apaa൦ k൦an൦൧ mutainaapatee giradhaaree simh ,mutainaa pattee giradhaaree ,mutainaa pattee giradhaaree,praa0apaa kan mutainaapatee giradhaaree simh
unnaav,AC165_S24A165P237, 237praa0 vi0 abbaasabaag paschim saahagamj kaksh  २,un‍naav ,unnaav,praa0 vi0 abbaasabaag paschim saahagamj
basthee,AC307_S24A307P235, 235praathamik vidyaalay souree ,souree ,souree,praathamik vidyaalay souree
aagaraa,AC086_S24A086P050, 50praa൦ vi൦ puraa goovardhan k൦ nam൦  1,aagaraa ,aagaraa,praa vi puraa goovardhan k nam
phaijaabaad,AC275_S24A275P029, 29praathamik vidyaalay hasanoo kataraa athirikth kaksh uththaree ,phaijaabaad ,phaijaabaad,praathamik vidyaalay hasanoo kataraa athirikth uththaree
gaajeepur,AC376_S24A376P279, 279praa0 paa0 chakasaaphiyaa ,chakasaaphiyaa ,chakasaaphiyaa,praa0 paa0 chakasaaphiyaa
gaajiyaabaad,AC053_S24A053P045, 45praa.vi saadulal‍laabaad ,loonee ,loonee,praavi saadulallaabaad
gaajiyaabaad,AC055_S24A055P067, 67praa0 vi0 pasounan‍daa n0-2 ,gaajiyaabaad ,gaajiyaabaad,praa0 vi0 pasounandaa n02
raay barelee,AC179_S24A179P229, 229adhaghooraa ,adhooraa ,adhooraa,adhaghooraa
santh kabeer nagar,AC313_S24A313P325, 325praa0avi0 visayaa hanan ,bisayaahannoo ,bisayaahannoo,praa0avi0 visayaa hanan
goorakhapur,AC328_S24A328P409, 409praa0 vi0 rajoulee bujurg ,kasvaathelee ,kasvaathelee,praa0 vi0 rajoulee bujurg
etaa,AC106_S24A106P098, 98praa0apaa0abuththapuraa ,abadulahaeepur ,abadulahaeepur,praa0apaa0abuththapuraa
prathaapagadh,AC249_S24A249P295, 295praa0avi0 redee gaaraapur k0asam0  -१,redeegaaraapur ,redeegaaraapur,praa0avi0 redee gaaraapur k0asam0
ilaahaabaad,AC259_S24A259P295, 295raajakeey i0akaa0 suravaadalaapur d0 bhaag ,Agaa we ,agaa we,raajakeey i0akaa0 suravaadalaapur d0 bhaag
merath,AC049_S24A049P045, 45praa0 vi0 maliyaanaa k0 n൦-2 ,ANS ,ans,praa0 vi0 maliyaanaa k0 n2
goorakhapur,AC325_S24A325P084, 84praa0 vi0 jamoulee khurd ,jamoulee bu0 ,jamoulee bu0,praa0 vi0 jamoulee khurd
saahajahaaapur,AC133_S24A133P087, 87praa൦ paa൦ saph഼ooraa ,saphouraraa ,saphouraraa,praa paa saphooraa
baagapath,AC050_S24A050P242, 242nethaa jee subhaash chandr boos maimooriyal maadhyamik vidyaalay k.n.-1 thabelaagadhee ,thabelaagadhee ,thabelaagadhee,nethaa jee subhaash chandr boos maimooriyal maadhyamik vidyaalay kn1 thabelaagadhee
gaajeepur,AC374_S24A374P237, 237poo൦amaa൦achakiyaa nevaadaa p൦achhoor ,chakiyaa masoon ,chakiyaa masoon,pooamaaachakiyaa nevaadaa pachhoor
seethaapur,AC151_S24A151P294, 294praa0 vi0 neebaadeharaa ,neebaadeharaa ,neebaadeharaa,praa0 vi0 neebaadeharaa
NA,AC058_S24A058P074, 74laalaa gamgaa sahaay dharmasaalaa pilkhuvaa kamaraa nam0  4,NA,NA,laalaa gamgaa sahaay dharmasaalaa pilkhuvaa kamaraa nam0
haapud,AC060_S24A060P258, 258aadars kanyaa i0akaa0 gadamukthesvar ,gathamukthesvar ,gathamukthesvar,aadars kanyaa i0akaa0 gadamukthesvar
ilaahaabaad,AC255_S24A255P027, 27praathamik vidyaalay maanee umarapur uththaree bhaag-1 ,maanee umarapur ,maanee umarapur,praathamik vidyaalay maanee umarapur uththaree bhaag1
lakhanaoo,AC168_S24A168P305, 305praa0 vi0 siragaamaoo kaksh sam0  1,siragaamaoo ,siragaamaoo,praa0 vi0 siragaamaoo sam0
phaijaabaad,AC275_S24A275P203, 203d൉0 brijakisoor hoomiyoopaithik medikal kaalej devakaalee phaijaabaad kaksh samkhyaa-4 ,devakaalee ,devakaalee,d0 brijakisoor hoomiyoopaithik medikal kaalej devakaalee phaijaabaad samkhyaa4
goondaa,AC295_S24A295P344, 344praa0 paa0 poore samval k0 n0  2,ujjaineekalaa ,ujjaineekalaa,praa0 paa0 poore samval k0 n0
saamalee,AC008_S24A008P026, 26praathamik vidyaalay k0 n0  1ajeejapur ,ajeejapur ,ajeejapur,praathamik vidyaalay k0 n0 1ajeejapur
basthee,AC311_S24A311P084, 84praathamik vidyaalay haluaapaar ,haluaapaar ,haluaapaar,praathamik vidyaalay haluaapaar
kannouj,AC197_S24A197P166, 166praa0apaa0 purvaanayan majare kharagapur bilandapur ,kharagapur bilandapur ,kharagapur bilandapur,praa0apaa0 purvaanayan majare kharagapur bilandapur
peeleebheeth,AC129_S24A129P054, 54sabalapur mu0 raamapur phakeere ,sabalapur m0 raamapur ,sabalapur m0 raamapur,sabalapur mu0 raamapur phakeere
mahaaraajagamj,AC319_S24A319P049, 49raa0aaaee0atee0aaaee0askool jamgal badaharaa k0anam01 ,j0abad഼aharaa ,j0abadaharaa,raa0aaaee0atee0aaaee0askool jamgal badaharaa k0anam01
vaaraanasee,AC388_S24A388P246, 246krischiyan n0aevam0apraa0 skool  51kaint poorvee chhoor k0asam0  6,vaaraanasee ,vaaraanasee,krischiyan n0aevam0apraa0 skool 51kaint poorvee chhoor k0asam0
aajamagadh,AC346_S24A346P300, 300praa0avi0 bhaagavath kakshas sam0-൧ ,bhaagavath ,bhaagavath,praa0avi0 bhaagavath kakshas sam0
muraadaabaad,AC027_S24A027P163, 163praa0 skool kaaphiyaabaad ,kaaphiyaabaad ,kaaphiyaabaad,praa0 skool kaaphiyaabaad
aagaraa,AC089_S24A089P178, 178rathnamuni jain garls i0akaa൦ loohaamandee k0anam൦-൬ ,aagaraa ,aagaraa,rathnamuni jain garls i0akaa loohaamandee k0anam
barelee,AC120_S24A120P281, 281praa൦ paa൦ phathehapur durgaaprasaad k0 n0  १,phathehapur durgaa prasaad ,phathehapur durgaa prasaad,praa paa phathehapur durgaaprasaad k0 n0
aajamagadh,AC352_S24A352P208, 208praa0avi0 mahoolee kaksh  -९,mahoulee ,mahoulee,praa0avi0 mahoolee
