birth_year,n_women,n_married_w,share_married
1919,909,899,0.988998899889989
1920,1836,1825,0.9940087145969498
1921,2131,2116,0.992961051149695
1922,4757,4732,0.9947445869245323
1923,2807,2786,0.9925187032418953
1924,4074,4047,0.9933726067746687
1925,4844,4830,0.9971098265895953
1926,5854,5809,0.9923129484113427
1927,11332,11262,0.9938228026826685
1928,6132,6091,0.9933137638617091
1929,7639,7599,0.9947637125278178
1930,12183,12108,0.9938438808175326
1931,12306,12224,0.9933365837802698
1932,24556,24414,0.994217299234403
1933,13469,13393,0.9943574133194744
1934,19665,19537,0.99349097381134
1935,19136,19032,0.9945652173913043
1936,21677,21534,0.9934031461918162
1937,33660,33487,0.9948603683897802
1938,20339,20199,0.993116672402773
1939,23037,22881,0.993228284932934
1940,31686,31490,0.993814302846683
1941,30649,30419,0.99249567685732
1942,52969,52627,0.9935433933055183
1943,33821,33569,0.9925490080127731
1944,43990,43682,0.9929984087292566
1945,40357,40049,0.9923681145773967
1946,45505,45134,0.99184704977475
1947,65439,64973,0.9928788642858234
1948,42364,41988,0.9911245397035219
1949,45145,44729,0.9907852475357183
1950,57979,57499,0.9917211404129082
1951,54605,54072,0.9902389891035619
1952,83086,82349,0.9911296728690754
1953,55278,54706,0.9896523029053149
1954,75326,74680,0.9914239439237448
1955,63893,63266,0.9901867184198582
1956,74128,73364,0.9896935031297216
1957,95494,94621,0.9908580643810082
1958,69592,68816,0.9888492930221865
1959,77880,77089,0.9898433487416538
1960,99454,98611,0.9915237195085165
1961,90570,89523,0.9884398807552169
1962,130893,129718,0.9910232021574874
1963,89046,88084,0.9891965950183051
1964,124547,123321,0.9901563265273351
1965,101585,100549,0.9898016439434956
1966,118214,116923,0.9890791276836923
1967,139305,137772,0.9889953698718639
1968,112997,111567,0.9873447967645159
1969,115623,114178,0.9875024865294967
1970,130466,128867,0.9877439332853004
1971,95466,94035,0.9850103701841493
1972,148639,144984,0.9754102220816878
1973,117024,113537,0.9702026934645884
1974,120308,115953,0.9638012434750807
1975,87650,85557,0.9761209355390759
1976,97957,95336,0.9732433618832753
1977,109059,105725,0.9694293914303267
1978,95396,92017,0.9645792276405719
1979,105597,102082,0.9667130695000805
1980,117069,113049,0.9656612766829819
1981,134734,129450,0.9607819852450012
1982,140733,135234,0.9609260088252223
1983,164816,156534,0.9497500242694884
1984,190237,179753,0.944889795360524
1985,136303,127659,0.936582467003661
1986,139780,128961,0.9225997996852197
1987,147087,134093,0.9116577263796256
1988,159171,144102,0.9053282319015399
1989,181158,160698,0.8870599145497301
1990,177488,154210,0.8688474713783467
1991,174616,147286,0.843485133092042
1992,166574,137127,0.8232197101588483
1993,217538,174875,0.8038825400619661
1994,208175,159548,0.7664128737840759
1995,199500,139422,0.6988571428571428
1996,144021,87941,0.6106123412557891
1997,102204,60240,0.5894094164611953
1998,132018,69274,0.524731476010847
1999,124195,45054,0.36276822738435527
2000,29,10,0.3448275862068966
