birth_year,n_women,n_married_w,share_married
1907,13,11,0.8461538461538461
1908,218,51,0.23394495412844038
1909,39,35,0.8974358974358975
1910,26,25,0.9615384615384616
1911,43,38,0.8837209302325582
1912,72,71,0.9861111111111112
1913,284,277,0.9753521126760564
1914,1150,1139,0.9904347826086957
1915,565,556,0.984070796460177
1916,1229,1133,0.9218877135882831
1917,1673,1639,0.9796772265391512
1918,1072,1057,0.9860074626865671
1919,2118,2095,0.9891406987724268
1920,1892,1873,0.9899577167019028
1921,1415,1395,0.9858657243816255
1922,3689,3639,0.9864461913797777
1923,2698,2483,0.9203113417346183
1924,7016,6804,0.9697833523375142
1925,3874,3836,0.9901910170366546
1926,5696,5632,0.9887640449438202
1927,7499,7400,0.986798239765302
1928,12221,12086,0.9889534407986253
1929,29104,28965,0.9952240241891149
1930,15117,15026,0.9939802870940001
1931,17591,17475,0.9934057188334944
1932,38384,38201,0.9952323884952063
1933,29222,29054,0.9942509068510027
1934,63241,62964,0.995619930108632
1935,32887,32713,0.9947091555933956
1936,47015,46769,0.9947676273529724
1937,50347,50054,0.9941803881065406
1938,53030,52727,0.9942862530643032
1939,80132,79775,0.9955448509958569
1940,56067,55762,0.9945600799044001
1941,55143,54726,0.9924378434252761
1942,99578,99003,0.9942256321677478
1943,67678,67249,0.9936611601997695
1944,144249,143568,0.9952789967348127
1945,86597,86109,0.9943647008556878
1946,143275,142584,0.9951771069621358
1947,116635,115997,0.9945299438419
1948,124113,123410,0.9943358068856607
1949,175017,174171,0.9951661838564254
1950,130979,130263,0.9945334748318433
1951,117433,116714,0.9938773598562585
1952,208458,207302,0.9944545184161797
1953,126009,125284,0.9942464427144093
1954,214028,212935,0.9948931915450315
1955,144149,143328,0.9943045043670091
1956,198882,197781,0.9944640540622077
1957,180108,178931,0.993465032091856
1958,203620,202394,0.9939789804537865
1959,286065,284573,0.9947844021463653
1960,255011,253473,0.9939688876166126
1961,220852,219389,0.9933756542843171
1962,361629,359521,0.9941708214772599
1963,268079,266260,0.9932146867154831
1964,419354,417099,0.9946226815530554
1965,283664,281831,0.9935381296181398
1966,401912,399347,0.9936180059316467
1967,364442,361888,0.9929920261660291
1968,369709,367144,0.9930621110116334
1969,366391,364268,0.9942056436975799
1970,402898,399568,0.991734880788686
1971,368065,365014,0.9917107032725198
1972,437569,433833,0.9914619180060744
1973,346950,343061,0.9887908920593745
1974,269527,266282,0.9879603898681765
1975,358807,354311,0.9874695867137486
1976,438293,430821,0.9829520434960175
1977,465646,458045,0.9836764409014573
1978,460136,451671,0.9816032651216162
1979,393294,385525,0.9802463297177175
1980,443634,434135,0.9785882055928986
1981,468789,460011,0.98127515790686215
1982,530140,517884,0.9768815784509752
1983,615431,562451,0.9139139887330993
1984,591620,520956,0.8805584665832799
1985,539973,485869,0.8998023975272837
1986,712629,622845,0.8740101792096588
1987,583563,481245,0.8246667454927745
1988,472533,386253,0.8174095777437766
1989,543094,430195,0.7921188597185754
1990,528906,398263,0.7529939157430621
1991,643792,448476,0.6966162984317916
1992,615874,362003,0.5877874370406934
1993,658933,328193,0.49806733006238874
1994,508277,273635,0.538358021315149
1995,472755,192737,0.40768897208913707
1996,282360,128317,0.4544446805496529
1997,334351,176630,0.5282771698005988
1998,135869,33706,0.24807719200111872
1999,264,214,0.8106060606060606
