birth_year,window,a1,a2,frac_2005,frac_2010,frac_2015
1907,main,5,15,0,0,0
1907,alt1,6,16,0,0,0
1907,alt2,10,16,0,0,0
1908,main,5,15,0,0,0
1908,alt1,6,16,0,0,0
1908,alt2,10,16,0,0,0
1909,main,5,15,0,0,0
1909,alt1,6,16,0,0,0
1909,alt2,10,16,0,0,0
1910,main,5,15,0,0,0
1910,alt1,6,16,0,0,0
1910,alt2,10,16,0,0,0
1911,main,5,15,0,0,0
1911,alt1,6,16,0,0,0
1911,alt2,10,16,0,0,0
1912,main,5,15,0,0,0
1912,alt1,6,16,0,0,0
1912,alt2,10,16,0,0,0
1913,main,5,15,0,0,0
1913,alt1,6,16,0,0,0
1913,alt2,10,16,0,0,0
1914,main,5,15,0,0,0
1914,alt1,6,16,0,0,0
1914,alt2,10,16,0,0,0
1915,main,5,15,0,0,0
1915,alt1,6,16,0,0,0
1915,alt2,10,16,0,0,0
1916,main,5,15,0,0,0
1916,alt1,6,16,0,0,0
1916,alt2,10,16,0,0,0
1917,main,5,15,0,0,0
1917,alt1,6,16,0,0,0
1917,alt2,10,16,0,0,0
1918,main,5,15,0,0,0
1918,alt1,6,16,0,0,0
1918,alt2,10,16,0,0,0
1919,main,5,15,0,0,0
1919,alt1,6,16,0,0,0
1919,alt2,10,16,0,0,0
1920,main,5,15,0,0,0
1920,alt1,6,16,0,0,0
1920,alt2,10,16,0,0,0
1921,main,5,15,0,0,0
1921,alt1,6,16,0,0,0
1921,alt2,10,16,0,0,0
1922,main,5,15,0,0,0
1922,alt1,6,16,0,0,0
1922,alt2,10,16,0,0,0
1923,main,5,15,0,0,0
1923,alt1,6,16,0,0,0
1923,alt2,10,16,0,0,0
1924,main,5,15,0,0,0
1924,alt1,6,16,0,0,0
1924,alt2,10,16,0,0,0
1925,main,5,15,0,0,0
1925,alt1,6,16,0,0,0
1925,alt2,10,16,0,0,0
1926,main,5,15,0,0,0
1926,alt1,6,16,0,0,0
1926,alt2,10,16,0,0,0
1927,main,5,15,0,0,0
1927,alt1,6,16,0,0,0
1927,alt2,10,16,0,0,0
1928,main,5,15,0,0,0
1928,alt1,6,16,0,0,0
1928,alt2,10,16,0,0,0
1929,main,5,15,0,0,0
1929,alt1,6,16,0,0,0
1929,alt2,10,16,0,0,0
1930,main,5,15,0,0,0
1930,alt1,6,16,0,0,0
1930,alt2,10,16,0,0,0
1931,main,5,15,0,0,0
1931,alt1,6,16,0,0,0
1931,alt2,10,16,0,0,0
1932,main,5,15,0,0,0
1932,alt1,6,16,0,0,0
1932,alt2,10,16,0,0,0
1933,main,5,15,0,0,0
1933,alt1,6,16,0,0,0
1933,alt2,10,16,0,0,0
1934,main,5,15,0,0,0
1934,alt1,6,16,0,0,0
1934,alt2,10,16,0,0,0
1935,main,5,15,0,0,0
1935,alt1,6,16,0,0,0
1935,alt2,10,16,0,0,0
1936,main,5,15,0,0,0
1936,alt1,6,16,0,0,0
1936,alt2,10,16,0,0,0
1937,main,5,15,0,0,0
1937,alt1,6,16,0,0,0
1937,alt2,10,16,0,0,0
1938,main,5,15,0,0,0
1938,alt1,6,16,0,0,0
1938,alt2,10,16,0,0,0
1939,main,5,15,0,0,0
1939,alt1,6,16,0,0,0
1939,alt2,10,16,0,0,0
1940,main,5,15,0,0,0
1940,alt1,6,16,0,0,0
1940,alt2,10,16,0,0,0
1941,main,5,15,0,0,0
1941,alt1,6,16,0,0,0
1941,alt2,10,16,0,0,0
1942,main,5,15,0,0,0
1942,alt1,6,16,0,0,0
1942,alt2,10,16,0,0,0
1943,main,5,15,0,0,0
1943,alt1,6,16,0,0,0
1943,alt2,10,16,0,0,0
1944,main,5,15,0,0,0
1944,alt1,6,16,0,0,0
1944,alt2,10,16,0,0,0
1945,main,5,15,0,0,0
1945,alt1,6,16,0,0,0
1945,alt2,10,16,0,0,0
1946,main,5,15,0,0,0
1946,alt1,6,16,0,0,0
1946,alt2,10,16,0,0,0
1947,main,5,15,0,0,0
1947,alt1,6,16,0,0,0
1947,alt2,10,16,0,0,0
1948,main,5,15,0,0,0
1948,alt1,6,16,0,0,0
1948,alt2,10,16,0,0,0
1949,main,5,15,0,0,0
1949,alt1,6,16,0,0,0
1949,alt2,10,16,0,0,0
1950,main,5,15,0,0,0
1950,alt1,6,16,0,0,0
1950,alt2,10,16,0,0,0
1951,main,5,15,0,0,0
1951,alt1,6,16,0,0,0
1951,alt2,10,16,0,0,0
1952,main,5,15,0,0,0
1952,alt1,6,16,0,0,0
1952,alt2,10,16,0,0,0
1953,main,5,15,0,0,0
1953,alt1,6,16,0,0,0
1953,alt2,10,16,0,0,0
1954,main,5,15,0,0,0
1954,alt1,6,16,0,0,0
1954,alt2,10,16,0,0,0
1955,main,5,15,0,0,0
1955,alt1,6,16,0,0,0
1955,alt2,10,16,0,0,0
1956,main,5,15,0,0,0
1956,alt1,6,16,0,0,0
1956,alt2,10,16,0,0,0
1957,main,5,15,0,0,0
1957,alt1,6,16,0,0,0
1957,alt2,10,16,0,0,0
1958,main,5,15,0,0,0
1958,alt1,6,16,0,0,0
1958,alt2,10,16,0,0,0
1959,main,5,15,0,0,0
1959,alt1,6,16,0,0,0
1959,alt2,10,16,0,0,0
1960,main,5,15,0,0,0
1960,alt1,6,16,0,0,0
1960,alt2,10,16,0,0,0
1961,main,5,15,0,0,0
1961,alt1,6,16,0,0,0
1961,alt2,10,16,0,0,0
1962,main,5,15,0,0,0
1962,alt1,6,16,0,0,0
1962,alt2,10,16,0,0,0
1963,main,5,15,0,0,0
1963,alt1,6,16,0,0,0
1963,alt2,10,16,0,0,0
1964,main,5,15,0,0,0
1964,alt1,6,16,0,0,0
1964,alt2,10,16,0,0,0
1965,main,5,15,0,0,0
1965,alt1,6,16,0,0,0
1965,alt2,10,16,0,0,0
1966,main,5,15,0,0,0
1966,alt1,6,16,0,0,0
1966,alt2,10,16,0,0,0
1967,main,5,15,0,0,0
1967,alt1,6,16,0,0,0
1967,alt2,10,16,0,0,0
1968,main,5,15,0,0,0
1968,alt1,6,16,0,0,0
1968,alt2,10,16,0,0,0
1969,main,5,15,0,0,0
1969,alt1,6,16,0,0,0
1969,alt2,10,16,0,0,0
1970,main,5,15,0,0,0
1970,alt1,6,16,0,0,0
1970,alt2,10,16,0,0,0
