state,design,outcome,spec,term,estimate,se,p,n,r2
raj,couples_random_rotation,mean_gap,s2,dose_main,-0.08538434312178535,0.036913312190340136,0.02077530176978852,219091,0.431036705871501
raj,couples_random_rotation,mean_gap,s3,dose_main,-0.05300725106174391,0.035651467574947145,0.13715368504522463,220439,0.41184591948753446
raj,couples_random_rotation,share_married_w,s2,dose_main,0.014125057141662296,0.0049837054706322725,0.004620011431842613,250494,0.8631297427450115
raj,couples_random_rotation,share_married_w,s3,dose_main,0.017133646960468443,0.008599600982522165,0.046407932027428225,251475,0.8540907768630466
raj,natal_random_rotation,natal_share_w,s2,dose_main,-0.013903623325326858,0.00499323144849719,0.005390298227816339,250494,0.8620659555275836
raj,natal_random_rotation,natal_share_w,s3,dose_main,-0.017065858004802488,0.00868886586996907,0.049597450130359634,251475,0.852532829895483
raj,natal_random_rotation,natal_ratio,s2,dose_main,-0.011066858708325654,0.004332732560004233,0.010684350072323134,233382,0.7646526291748779
raj,natal_random_rotation,natal_ratio,s3,dose_main,-0.013086889699647932,0.006797154385521143,0.05426743390100989,234573,0.7532879208392645
up,couples_random_rotation,mean_gap,s2,dose_main,-0.09556290817004562,0.03501255303596988,0.0063529255559099645,741517,0.38409558773065056
up,couples_random_rotation,mean_gap,s3,dose_main,-0.0757337462520781,0.032968598354639035,0.021624709130676652,743394,0.3741852659015542
up,couples_random_rotation,share_married_w,s2,dose_main,0.005509762956381184,0.002821912700653813,0.05089926512763487,912470,0.8582782122975925
up,couples_random_rotation,share_married_w,s3,dose_main,-0.0030495921807215617,0.0051559739347885325,0.5542164213633289,914046,0.8550365003994617
up,natal_random_rotation,natal_share_w,s2,dose_main,-0.005527273684610245,0.0027727427742392395,0.04623314965465902,912470,0.8654261144965439
up,natal_random_rotation,natal_share_w,s3,dose_main,0.0027500859427568923,0.0049853385051247786,0.5812072438798124,914046,0.8623358043355812
up,natal_random_rotation,natal_ratio,s2,dose_main,-0.016181760142785488,0.010736971151317262,0.1318054267835836,837748,0.6189344383196249
up,natal_random_rotation,natal_ratio,s3,dose_main,-0.033327871870484,0.0372529260195916,0.37099584974443434,839186,0.31889547319063927
