state,design,outcome,spec,term,estimate,se,p,n,r2
raj,placebo,mean_gap,placebo,treat_2005,-0.043184644120653634,0.017772220542894665,0.015153779262589692,171054,0.4330580077998303
raj,placebo,mean_gap,placebo,treat_2010,0.007203215084965033,0.017402422029241086,0.678958196866877,171054,0.4330580077998303
raj,placebo_strict,mean_gap,placebo_strict,treat_2005,-0.05041940021154769,0.01907892150633924,0.008262499937753413,146950,0.40688856912968296
raj,placebo_strict,mean_gap,placebo_strict,treat_2010,-0.0014275262865344484,0.018129845793669993,0.9372447682993229,146950,0.40688856912968296
raj,placebo,share_gap_ge5,placebo,treat_2005,-0.005665606995466442,0.0028166689993109114,0.044354781193826645,171216,0.5074601292580172
raj,placebo,share_gap_ge5,placebo,treat_2010,0.0022199537857726073,0.0027646366681335615,0.42204030884435983,171216,0.5074601292580172
raj,placebo_strict,share_gap_ge5,placebo_strict,treat_2005,-0.006747802202021862,0.0033491997701875597,0.04400811968255907,147112,0.5017420026721094
raj,placebo_strict,share_gap_ge5,placebo_strict,treat_2010,0.001575177686783815,0.0032476995437749874,0.6276976138493274,147112,0.5017420026721094
raj,placebo,natal_ratio,placebo,treat_2005,-0.0011468728955089478,0.00045360101847505973,0.01150341261568065,184873,0.332796312443306
raj,placebo,natal_ratio,placebo,treat_2010,2.967588060212592e-4,4.209979464797813e-4,0.4809238965014857,184873,0.332796312443306
raj,placebo_strict,natal_ratio,placebo_strict,treat_2005,-4.120244981269032e-4,3.260261867264836e-4,0.20639522740191474,160766,0.24048537829753747
raj,placebo_strict,natal_ratio,placebo_strict,treat_2010,3.1105117931306387e-4,3.1001059000461146e-4,0.3157590886711609,160766,0.24048537829753747
up,placebo,mean_gap,placebo,treat_2005,-0.033340855682205156,0.012963646971193293,0.010122475219117156,782491,0.3219770607880663
up,placebo,mean_gap,placebo,treat_2010,-0.0018527637326860038,0.014428459078210424,0.897825577344601,782491,0.3219770607880663
up,placebo_strict,mean_gap,placebo_strict,treat_2005,-0.029038199472933072,0.011914981399829204,0.014813956555428399,652162,0.29207760433007524
up,placebo_strict,mean_gap,placebo_strict,treat_2010,9.820741596198153e-4,0.012920995192415196,0.9394150582769475,652162,0.29207760433007524
up,placebo,share_gap_ge5,placebo,treat_2005,-0.002230936545064578,0.0014372907403494735,0.12063527533575609,795618,0.28773481426346903
up,placebo,share_gap_ge5,placebo,treat_2010,-3.275781162441568e-5,0.0015662155994639467,0.9833134691589538,795618,0.28773481426346903
up,placebo_strict,share_gap_ge5,placebo_strict,treat_2005,-0.002430704674074917,0.001575103395509905,0.12279801675380334,664773,0.2712463203124569
up,placebo_strict,share_gap_ge5,placebo_strict,treat_2010,-5.9664331956456474e-5,0.0017032444606985863,0.9720563351379019,664773,0.2712463203124569
up,placebo,natal_ratio,placebo,treat_2005,-0.002051664841509009,9.272778256043506e-4,0.026939241902431712,888636,0.495075601877482
up,placebo,natal_ratio,placebo,treat_2010,0.001839364979998316,0.001028274997031977,0.07366494323647033,888636,0.495075601877482
up,placebo_strict,natal_ratio,placebo_strict,treat_2005,-2.632566558315438e-4,1.2292992764735265e-4,0.03224488490927373,756410,0.14373003051680744
up,placebo_strict,natal_ratio,placebo_strict,treat_2010,1.8257684322307673e-4,1.3629010938023578e-4,0.18038510761809048,756410,0.14373003051680744
