state,spec_label,outcome,term,estimate,se,p,n
raj,window_dose_main,mean_gap,dose_main,-0.05339625802104808,0.03567255061046436,0.13452477377729452,220243
raj,window_dose_alt1,mean_gap,dose_alt1,-0.03749118228675419,0.031955500925560834,0.24078380473491667,220243
raj,window_dose_alt2,mean_gap,dose_alt2,-0.03168967060315297,0.032996942067855944,0.33692994371180207,220243
raj,bridge_exact_only,mean_gap,dose_main,-0.06416888065094915,0.042708717899543246,0.13311610212246183,139113
raj,bridge_dist_le_010,mean_gap,dose_main,-0.054726139623986224,0.03603363461977373,0.1289188969699193,214434
raj,window_dose_main,natal_share_w,dose_main,-0.017002683394307626,0.008682655288170344,0.05028246947284928,251260
raj,window_dose_alt1,natal_share_w,dose_alt1,-0.014953709226288477,0.008246067832568421,0.06985116068282839,251260
raj,window_dose_alt2,natal_share_w,dose_alt2,-0.015165632417500173,0.008749746305363808,0.08313742022664068,251260
raj,bridge_exact_only,natal_share_w,dose_main,-0.00999793576703879,0.010005597370516229,0.31779011913756466,159102
raj,bridge_dist_le_010,natal_share_w,dose_main,-0.01623014824511445,0.008792642277265741,0.06499757186386729,244498
raj,window_dose_main,natal_ratio,dose_main,-0.012964323057010878,0.006793168064239192,0.056417457376993045,234369
raj,window_dose_alt1,natal_ratio,dose_alt1,-0.011967726962020293,0.006541933954263485,0.06742753823806072,234369
raj,window_dose_alt2,natal_ratio,dose_alt2,-0.013283342501619617,0.0070459196178039585,0.0594792130790881,234369
raj,bridge_exact_only,natal_ratio,dose_main,-0.00631977006396593,0.008058188646338426,0.432967230678013,147950
raj,bridge_dist_le_010,natal_ratio,dose_main,-0.012623196863547792,0.0068787242689908965,0.06657793620341465,228162
raj,natal_father_plus_mother,natal_share_w_fm,dose_main,-0.017002683394307626,0.008682655288170344,0.05028246947284928,251260
raj,couples_clean_only,mean_gap,dose_main,-0.011160526348937811,0.025745822423472578,0.6646866508023015,216866
up,window_dose_main,mean_gap,dose_main,-0.07597561418060723,0.028729852107242698,0.008188254715810958,1001348
up,window_dose_alt1,mean_gap,dose_alt1,-0.06441628742532579,0.02491741253946542,0.00973981744989288,1001348
up,window_dose_alt2,mean_gap,dose_alt2,-0.05870062444608623,0.025723720086101413,0.022502349358816197,1001348
up,bridge_exact_only,mean_gap,dose_main,-0.06023949327916426,0.036935011959343976,0.10292713307307284,576888
up,bridge_dist_le_010,mean_gap,dose_main,-0.06475516895219466,0.029630130411869494,0.02886885476077941,934163
up,window_dose_main,natal_share_w,dose_main,-0.0011296928224065507,0.0038775498000421208,0.770792985279523,1228964
up,window_dose_alt1,natal_share_w,dose_alt1,-0.001059555772686134,0.0037794590734270767,0.7792151876182372,1228964
up,window_dose_alt2,natal_share_w,dose_alt2,-0.0016207271199383973,0.004044631479770055,0.6886376062465792,1228964
up,bridge_exact_only,natal_share_w,dose_main,0.003569901035541794,0.003775864886668704,0.3444483328260409,711263
up,bridge_dist_le_010,natal_share_w,dose_main,-1.0500526548906745e-4,0.003991498206924923,0.9790125822851354,1145707
up,window_dose_main,natal_ratio,dose_main,-0.06072627512761536,0.03920587153600399,0.12142046163600229,1129671
up,window_dose_alt1,natal_ratio,dose_alt1,-0.0536596059779161,0.03396961538696619,0.11420693017748962,1129671
up,window_dose_alt2,natal_ratio,dose_alt2,-0.053377199974087644,0.03267698472060692,0.10238454918134245,1129671
up,bridge_exact_only,natal_ratio,dose_main,0.008197713363291954,0.00945296580850402,0.38584517955841546,651821
up,bridge_dist_le_010,natal_ratio,dose_main,-0.059985777043096114,0.040951105665723526,0.14298917157613567,1053673
up,natal_father_plus_mother,natal_share_w_fm,dose_main,-9.411564112370399e-4,0.003986168503702645,0.8133533141049356,1228964
up,couples_clean_only,mean_gap,dose_main,-0.04980321055802817,0.02149277293365864,0.02050294596170302,971404
