Variable,Open,Quota,Diff.,Quota_year
Log population (2001),8.26,8.25,0.00,2005
Female share (2001),0.48,0.48,-0.00,2005
Literacy rate (2001),0.44,0.43,0.01$^{***}$,2005
Female literacy rate (2001),0.29,0.28,0.01$^{***}$,2005
Work participation (2001),0.47,0.47,-0.01$^{**}$,2005
Log population (2001),8.26,8.25,0.01,2010
Female share (2001),0.48,0.48,0.00,2010
Literacy rate (2001),0.44,0.43,0.00,2010
Female literacy rate (2001),0.29,0.29,0.00,2010
Work participation (2001),0.47,0.46,0.01$^{**}$,2010
